label,message
ham,Go until jurong point crazy
ham,Ok lar joking only
spam,Free entry win prize text FA to 87121
ham,U dont say so early
ham,Nah he lives around here though
spam,Winner valued network customer selected to receive prize call now
ham,Hey you can call me when free
spam,URGENT your mobile won prize call now
ham,Im gonna be home soon
ham,Sure let me know if need anything
spam,You have won cash prize claim now
ham,Can you send me the notes
ham,Are we meeting today
spam,Free tones text POLY to 54321
ham,What are you doing now
ham,Ok see you soon
spam,Urgent claim your free holiday now
ham,Did you eat
ham,I will reach in 10 mins
spam,You have won free tickets call now
ham,I'll call you later
